Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
AAME,Atlantic American Corp,Financial,Insurance - Life,USA,47020000.0,,2.31,-0.015,30261.0
ABTS,Abits Group Inc,Financial,Capital Markets,Hong Kong,10720000.0,,4.52,-0.0737,26615.0
ACCS,ACCESS Newswire Inc,Communication Services,Advertising Agencies,USA,47840000.0,,12.44,0.07200000000000001,2942.0
ACNT,Ascent Industries Co,Basic Materials,Steel,USA,134290000.0,,12.78,0.0046,21027.0
ACON,Aclarion Inc,Healthcare,Health Information Services,USA,4370000.0,,7.51,0.008100000000000001,10129.0
ACR,ACRES Commercial Realty Corp,Real Estate,REIT - Mortgage,USA,134430000.0,62.82,18.18,-0.0005,10233.0
ACTU,Actuate Therapeutics Inc,Healthcare,Biotechnology,USA,122230000.0,,6.23,-0.0546,43048.0
ADN,Advent Technologies Holdings Inc,Industrials,Electrical Equipment & Parts,USA,5390000.0,,2.02,-0.0049,16697.0
ADTX,Aditxt Inc,Healthcare,Biotechnology,USA,2730000.0,,1.12,-0.08539999999999999,6069409.0
ADXN,Addex Therapeutics Ltd ADR,Healthcare,Biotechnology,Switzerland,7420000.0,2.09,9.05,-0.0349,680.0
AEHL,Antelope Enterprise Holdings Ltd,Industrials,Building Products & Equipment,China,10740000.0,,3.14,0.0467,67971.0
AEI,Alset Inc,Real Estate,Real Estate - Development,USA,13070000.0,,1.11,0.0508,46478.0
AEMD,Aethlon Medical Inc,Healthcare,Medical Devices,USA,3030000.0,,1.17,-0.0565,60927.0
AENT,Alliance Entertainment Holding Corporation,Communication Services,Entertainment,USA,323830000.0,27.39,6.36,0.19010000000000002,107364.0
AEYE,AudioEye Inc,Technology,Software - Application,USA,146890000.0,,11.79,-0.032799999999999996,31410.0
AFBI,Affinity Bancshares Inc,Financial,Banks - Regional,USA,117860000.0,20.69,18.66,0.018600000000000002,3199.0
AFJK,Aimei Health Technology Co Ltd,Financial,Shell Companies,USA,68570000.0,49.93,11.2,-0.0031,2408.0
AFRI,Forafric Global PLC,Consumer Defensive,Farm Products,United Kingdom,208890000.0,,7.76,-0.0083,18147.0
AGMH,AGM Group Holdings Inc,Technology,Computer Hardware,Hong Kong,5120000.0,0.39,2.54,-0.0196,222400.0
AHT,Ashford Hospitality Trust Inc,Real Estate,REIT - Hotel & Motel,USA,36450000.0,,6.22,0.008100000000000001,15806.0
AIFE,Aifeex Nexus Acquisition Corp,Financial,Shell Companies,USA,112560000.0,196.25,10.2,0.0,201.0
AIFF,Firefly Neuroscience Inc,Technology,Software - Application,USA,39480000.0,,3.07,0.0132,308528.0
AIFU,AIFU Inc,Financial,Insurance Brokers,China,6300000000.0,5.45,6.01,-0.1346,167184.0
AII,American Integrity Insurance Group Inc,Financial,Insurance - Property & Casualty,USA,344860000.0,0.03,17.62,-0.010700000000000001,17772.0
AIM,AIM ImmunoTech Inc,Healthcare,Biotechnology,USA,6990000.0,,9.15,0.0336,1330.0
AIMD,Ainos Inc,Healthcare,Medical Devices,USA,13640000.0,,3.26,-0.0106,41282.0
AIRG,Airgain Inc,Technology,Communication Equipment,USA,51650000.0,,4.38,0.0404,9700.0
AIRI,Air Industries Group,Industrials,Aerospace & Defense,USA,12420000.0,,3.3,0.0092,14745.0
AKA,a.k.a. Brands Holding Corp,Consumer Cyclical,Apparel Retail,USA,112720000.0,,10.52,-0.050499999999999996,790.0
AKAN,Akanda Corp,Healthcare,Drug Manufacturers - Specialty & Generic,United Kingdom,2980000.0,,1.31,-0.044500000000000005,18446.0
ALAR,Alarum Technologies Ltd ADR,Technology,Software - Infrastructure,Israel,97680000.0,20.18,13.91,0.0018,121620.0
ALBT,Avalon GloboCare Corp,Real Estate,Real Estate Services,USA,5480000.0,,2.57,-0.040999999999999995,77187.0
ALCY,Alchemy Investments Acquisition Corp 1,Financial,Shell Companies,USA,52370000.0,87.1,11.55,0.0,2.0
ALGS,Aligos Therapeutics Inc,Healthcare,Biotechnology,USA,46040000.0,,7.53,-0.0395,31861.0
ALMU,Aeluma Inc,Technology,Semiconductors,USA,246250000.0,,15.59,-0.1009,218651.0
ALOT,AstroNova Inc,Technology,Computer Hardware,USA,90290000.0,,11.89,-0.015300000000000001,3857.0
ALUR,Allurion Technologies Inc,Healthcare,Medical Devices,USA,18570000.0,,2.49,-0.008,214683.0
ALZN,Alzamend Neuro Inc,Healthcare,Biotechnology,USA,2290000.0,,2.86,-0.027200000000000002,103385.0
AMBI,Ambipar Emergency Response,Industrials,Waste Management,Brazil,254980000.0,,4.6,-0.0254,957.0
AMBO,Ambow Education Holding Ltd ADR,Consumer Defensive,Education & Training Services,USA,6680000.0,,2.55,0.0345,3351.0
AMBR,Amber International Holding Ltd. ADR,Technology,Software - Infrastructure,Singapore,77170000.0,,9.81,0.1401,182132.0
AMIX,Autonomix Medical Inc,Healthcare,Medical Devices,USA,3940000.0,,1.41,-0.0034999999999999996,129385.0
AMOD,Alpha Modus Holdings Inc,Technology,Software - Application,USA,15210000.0,,1.1,-0.051699999999999996,53514.0
AMS,American Shared Hospital Services,Healthcare,Medical Care Facilities,USA,16190000.000000002,11.4,2.51,0.0078000000000000005,10654.0
AMST,Amesite Inc,Technology,Software - Application,USA,14770000.0,,3.23,0.1661,767481.0
AMZE,Amaze Holdings Inc,Consumer Defensive,Beverages - Wineries & Distilleries,USA,48660000.0,,9.22,-0.016399999999999998,41378.0
ANTA,Antalpha Platform Holding Co,Financial,Credit Services,Singapore,272560000.0,40.83,11.8,0.0111,26792.0
APDN,Applied Dna Sciences Inc,Healthcare,Diagnostics & Research,USA,2490000.0,,4.81,0.038900000000000004,217265.0
APLM,Apollomics Inc,Healthcare,Biotechnology,USA,6970000.0,,6.32,0.029300000000000003,4041.0
APRE,Aprea Therapeutics Inc,Healthcare,Biotechnology,USA,9790000.0,,1.77,0.0172,12708.0
APT,Alpha Pro Tech Ltd,Industrials,Building Products & Equipment,Canada,52740000.0,13.61,4.86,0.022099999999999998,15968.0
APUS,Apimeds Pharmaceuticals US Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,21540000.0,,1.86,0.0449,354603.0
APVO,Aptevo Therapeutics Inc,Healthcare,Biotechnology,USA,9450000.0,,2.93,-0.0362,176070.0
APWC,Asia Pacific Wire & Cable,Industrials,Electrical Equipment & Parts,Taiwan,34790000.0,,1.69,0.0042,2768.0
ARAI,Arrive AI Inc,Technology,Software - Infrastructure,USA,370100000.0,,11.22,-0.0767,192388.0
ARBB,ARB IOT Group Ltd,Technology,Information Technology Services,Singapore,10460000.0,,5.92,-0.0226,7901.0
AREB,American Rebel Holdings Inc,Consumer Cyclical,Footwear & Accessories,USA,8610000.0,,1.26,-0.0141,125657.0
AREN,Arena Group Holdings Inc,Communication Services,Internet Content & Information,USA,317230000.0,119.11,6.67,0.0758,139080.0
ARKR,Ark Restaurants Corp,Consumer Cyclical,Restaurants,USA,33450000.000000004,,9.27,0.0294,1222.0
ARL,American Realty Investors Inc,Real Estate,Real Estate Services,USA,221280000.0,,13.7,-0.053899999999999997,3714.0
ARTL,Artelo Biosciences Inc,Healthcare,Biotechnology,USA,9560000.0,,13.99,0.392,6798595.0
ARTW,Art's-way Manufacturing Co. Inc,Industrials,Farm & Heavy Construction Machinery,USA,11550000.0,349.23,2.27,0.0,15704.0
ASMB,Assembly Biosciences Inc,Healthcare,Biotechnology,USA,142710000.0,,18.68,0.03,18431.0
ASPC,A SPAC III Acquisition Corp,Financial,Shell Companies,Hong Kong,82200000.0,3403.53,10.21,-0.0019,148.0
ASPS,Altisource Portfolio Solutions S.A,Real Estate,Real Estate Services,Luxembourg,112800000.0,,10.15,0.0373,10068.0
ASTC,Astrotech Corp,Technology,Scientific & Technical Instruments,USA,9470000.0,,5.59,-0.0104,2299.0
ATER,Aterian Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,14740000.0,,1.49,-0.04190000000000001,78881.0
ATHR,Aether Holdings Inc,Technology,Software - Application,USA,155500000.0,,12.85,0.0363,5344.0
ATLO,Ames National Corp,Financial,Banks - Regional,USA,163470000.0,14.46,18.33,-0.0132,9735.0
ATLX,Atlas Lithium Corporation,Basic Materials,Other Industrial Metals & Mining,Brazil,67600000.0,,3.79,-0.0207,57981.0
ATMC,AlphaTime Acquisition Corp,Financial,Shell Companies,USA,41080000.0,56.49,11.84,0.009399999999999999,2.0
ATMV,AlphaVest Acquisition Corp,Financial,Shell Companies,USA,45600000.0,47.13,11.89,0.0,0.0
ATNI,ATN International Inc,Communication Services,Telecom Services,USA,260730000.00000003,,17.14,-0.0197,29074.0
ATRA,Atara Biotherapeutics Inc,Healthcare,Biotechnology,USA,57210000.0,,8.42,-0.0053,20937.0
AUST,Austin Gold Corp,Basic Materials,Gold,Canada,18310000.0,,1.38,0.0,23925.0
AUUD,Auddia Inc,Technology,Software - Application,USA,2840000.0,,4.57,0.0069,13033.0
AVTX,Avalo Therapeutics Inc,Healthcare,Biotechnology,USA,52620000.0,,4.86,-0.0202,13233.0
AWX,Avalon Holdings Corp,Industrials,Waste Management,USA,9790000.0,12.27,2.51,0.0415,5810.0
AXIL,AXIL Brands Inc,Technology,Consumer Electronics,USA,34570000.0,22.51,5.2,0.0524,2493.0
AYRO,AYRO Inc,Consumer Cyclical,Auto Manufacturers,USA,3900000.0,,7.19,0.005600000000000001,28306.0
AYTU,Aytu BioPharma Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,14690000.0,,2.38,-0.0021,110213.0
BAFN,BayFirst Financial Corp,Financial,Banks - Regional,USA,60030000.0,6.51,14.54,0.0014000000000000002,6624.0
BALY,Ballys Corporation,Consumer Cyclical,Resorts & Casinos,USA,544750000.0,,11.11,-0.005,65662.0
BAOS,Baosheng Media Group Holdings Ltd,Communication Services,Advertising Agencies,China,4139999.9999999995,,2.7,-0.0182,15827.0
BAYA,Bayview Acquisition Corp,Financial,Shell Companies,USA,61110000.0,64.03,11.23,0.0,0.0
BBGI,Beasley Broadcast Group Inc,Communication Services,Broadcasting,USA,7160000.0,,3.99,-0.022099999999999998,20010.0
BCDA,BioCardia Inc,Healthcare,Biotechnology,USA,10900000.0,,2.11,-0.0070999999999999995,113869.0
BCG,Binah Capital Group Inc,Financial,Asset Management,USA,33200000.000000004,,2.0,0.0,2151.0
BCLI,"Brainstorm Cell Therapeutics, Inc",Healthcare,Biotechnology,USA,11210000.0,,1.14,-0.0172,118763.0
BCTX,BriaCell Therapeutics Corp,Healthcare,Biotechnology,Canada,19390000.0,,2.86,-0.0172,75628.0
BCV,Bancroft Fund Ltd,Financial,Closed-End Fund - Debt,USA,111380000.0,8.56,19.0,-0.0066,17158.0
BEDU,Bright Scholar Education Holdings Ltd ADR,Consumer Defensive,Education & Training Services,China,13860000.0,,1.77,-0.0167,850.0
BETR,Better Home & Finance Holding Co,Financial,Mortgage Finance,USA,202600000.0,,13.32,0.011000000000000001,25039.0
BFRG,Bullfrog AI Holdings Inc,Healthcare,Health Information Services,USA,14030000.0,,1.49,-0.0859,181242.0
BGLC,BioNexus Gene Lab Corp,Basic Materials,Specialty Chemicals,Malaysia,10450000.0,,5.82,-0.0953,294136.0
BHAT,Blue Hat Interactive Entertainment Technology,Communication Services,Electronic Gaming & Multimedia,China,12020000.0,,1.66,-0.046,40410.0
BHM,Bluerock Homes Trust Inc,Real Estate,REIT - Residential,USA,53080000.0,,13.03,0.0232,301.0
